Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11205,"Fort Greene, Clinton Hill",11207,"East New York, Cypress Hills",driving,5.1,26
11205,"Fort Greene, Clinton Hill",11207,"East New York, Cypress Hills",bicycling,5.7,34
11205,"Fort Greene, Clinton Hill",11208,"Cypress Hills, East New York",driving,5.8,30
11205,"Fort Greene, Clinton Hill",11208,"Cypress Hills, East New York",bicycling,6.4,37
11205,"Fort Greene, Clinton Hill",11209,Bay Ridge,driving,9.7,29
11205,"Fort Greene, Clinton Hill",11209,Bay Ridge,bicycling,7.5,43
11205,"Fort Greene, Clinton Hill",11210,"Flatbush, Midwood",driving,5.0,31
11205,"Fort Greene, Clinton Hill",11210,"Flatbush, Midwood",bicycling,5.6,35
11205,"Fort Greene, Clinton Hill",11211,Williamsburg,driving,1.5,7
11205,"Fort Greene, Clinton Hill",11211,Williamsburg,bicycling,1.1,8
11205,"Fort Greene, Clinton Hill",11212,Brownsville,driving,4.0,23
11205,"Fort Greene, Clinton Hill",11212,Brownsville,bicycling,4.3,27
11205,"Fort Greene, Clinton Hill",11213,Crown Heights,driving,2.3,13
11205,"Fort Greene, Clinton Hill",11213,Crown Heights,bicycling,2.4,16
11205,"Fort Greene, Clinton Hill",11214,"Bensonhurst, Bath Beach",driving,10.7,34
11205,"Fort Greene, Clinton Hill",11214,"Bensonhurst, Bath Beach",bicycling,7.7,44
11205,"Fort Greene, Clinton Hill",11215,"Park Slope, Gowanus",driving,3.1,20
11205,"Fort Greene, Clinton Hill",11215,"Park Slope, Gowanus",bicycling,2.9,19
11205,"Fort Greene, Clinton Hill",11216,"Bedford-Stuyvesant, Crown Heights",driving,1.6,9
11205,"Fort Greene, Clinton Hill",11216,"Bedford-Stuyvesant, Crown Heights",bicycling,1.5,11
11205,"Fort Greene, Clinton Hill",11217,"Park Slope, Boerum Hill",driving,2.3,15
11205,"Fort Greene, Clinton Hill",11217,"Park Slope, Boerum Hill",bicycling,2.1,14
11205,"Fort Greene, Clinton Hill",11218,"Windsor Terrace, Kensington",driving,6.7,23
11205,"Fort Greene, Clinton Hill",11218,"Windsor Terrace, Kensington",bicycling,4.1,25
11205,"Fort Greene, Clinton Hill",11219,Borough Park,driving,9.6,33
11205,"Fort Greene, Clinton Hill",11219,Borough Park,bicycling,5.7,34
11205,"Fort Greene, Clinton Hill",11220,"Sunset Park, Greenwood",driving,8.1,25
11205,"Fort Greene, Clinton Hill",11220,"Sunset Park, Greenwood",bicycling,5.8,34
11205,"Fort Greene, Clinton Hill",11221,"Bedford-Stuyvesant, Bushwick",driving,2.0,13
11205,"Fort Greene, Clinton Hill",11221,"Bedford-Stuyvesant, Bushwick",bicycling,2.1,13
11205,"Fort Greene, Clinton Hill",11222,Greenpoint,driving,3.4,14
11205,"Fort Greene, Clinton Hill",11222,Greenpoint,bicycling,3.0,18
11205,"Fort Greene, Clinton Hill",11223,"Gravesend, Homecrest",driving,10.9,39
11205,"Fort Greene, Clinton Hill",11223,"Gravesend, Homecrest",bicycling,8.1,48
11205,"Fort Greene, Clinton Hill",11224,Coney Island,driving,14.4,35
11205,"Fort Greene, Clinton Hill",11224,Coney Island,bicycling,10.0,60
11205,"Fort Greene, Clinton Hill",11225,"Prospect Lefferts Gardens, Wingate",driving,2.3,16
11205,"Fort Greene, Clinton Hill",11225,"Prospect Lefferts Gardens, Wingate",bicycling,2.3,16
11205,"Fort Greene, Clinton Hill",11226,Flatbush,driving,3.8,23
11205,"Fort Greene, Clinton Hill",11226,Flatbush,bicycling,3.7,23
11205,"Fort Greene, Clinton Hill",11228,Dyker Heights,driving,9.6,27
11205,"Fort Greene, Clinton Hill",11228,Dyker Heights,bicycling,7.9,46
11205,"Fort Greene, Clinton Hill",11229,"Sheepshead Bay, Madison",driving,7.1,40
11205,"Fort Greene, Clinton Hill",11229,"Sheepshead Bay, Madison",bicycling,7.1,43
11205,"Fort Greene, Clinton Hill",11230,Midwood,driving,9.3,32
11205,"Fort Greene, Clinton Hill",11230,Midwood,bicycling,6.5,39
11205,"Fort Greene, Clinton Hill",11231,"Carroll Gardens, Red Hook",driving,5.1,22
11205,"Fort Greene, Clinton Hill",11231,"Carroll Gardens, Red Hook",bicycling,4.1,24
11205,"Fort Greene, Clinton Hill",11232,"Sunset Park, Industry City",driving,6.1,24
11205,"Fort Greene, Clinton Hill",11232,"Sunset Park, Industry City",bicycling,4.7,28
11205,"Fort Greene, Clinton Hill",11233,"Bedford-Stuyvesant, Ocean Hill",driving,3.0,17
11205,"Fort Greene, Clinton Hill",11233,"Bedford-Stuyvesant, Ocean Hill",bicycling,2.9,18
11205,"Fort Greene, Clinton Hill",11234,"Marine Park, Mill Basin",driving,10.3,39
11205,"Fort Greene, Clinton Hill",11234,"Marine Park, Mill Basin",bicycling,10.8,60
11205,"Fort Greene, Clinton Hill",11235,"Brighton Beach, Manhattan Beach",driving,17.1,37
11205,"Fort Greene, Clinton Hill",11235,"Brighton Beach, Manhattan Beach",bicycling,8.1,49
